Date;rr
03/03/2020;20.9114
04/03/2020;64.0232
05/03/2020;40.0453
06/03/2020;24.9274
07/03/2020;6.3618
08/03/2020;6.8978
09/03/2020;13.5806
10/03/2020;3.1683
11/03/2020;50.639
12/03/2020;9.8775
13/03/2020;4.4383
14/03/2020;37.4647
15/03/2020;0.7954
16/03/2020;5.1789
17/03/2020;0.7643
18/03/2020;2.2457
19/03/2020;0.96
20/03/2020;26.8157
21/03/2020;39.5632
22/03/2020;46.4258
23/03/2020;12.5172
24/03/2020;11.6574
25/03/2020;9.446
26/03/2020;7.6782
27/03/2020;20.7129
28/03/2020;35.6733
29/03/2020;22.1444
30/03/2020;55.0976
31/03/2020;64.4351
01/04/2020;16.4526
02/04/2020;21.4478
03/04/2020;22.3117
04/04/2020;51.114
05/04/2020;5.8787
06/04/2020;11.3288
07/04/2020;7.6225
08/04/2020;17.0982
09/04/2020;7.4778
10/04/2020;0.9114
11/04/2020;3.6416
12/04/2020;0.0388
13/04/2020;1.3042
14/04/2020;6.6448
15/04/2020;10.5408
16/04/2020;3.6655
17/04/2020;6.6731
18/04/2020;91.0926
19/04/2020;23.589
20/04/2020;7.3529
21/04/2020;0.7388
22/04/2020;29.7197
23/04/2020;8.5002
24/04/2020;5.1358
25/04/2020;6.9421
26/04/2020;6.122
27/04/2020;4.7898
28/04/2020;4.8537
29/04/2020;4.4035
30/04/2020;10.2031
01/05/2020;5.1012
02/05/2020;13.2397
03/05/2020;33.4368
04/05/2020;5.3895
05/05/2020;3.3101
06/05/2020;0.1627
07/05/2020;71.8799
08/05/2020;9.9939
09/05/2020;40.37
10/05/2020;14.6836
11/05/2020;0.0942
12/05/2020;0.1315
13/05/2020;27.5068
14/05/2020;28.7252
15/05/2020;6.256
16/05/2020;2.1034
17/05/2020;0.0386
18/05/2020;3.2737
19/05/2020;2.3535
20/05/2020;1.4737
21/05/2020;34.3571
22/05/2020;0.5256
23/05/2020;5.8256
24/05/2020;12.0022
25/05/2020;3.827
26/05/2020;3.0126
27/05/2020;21.8215
28/05/2020;2.9396
29/05/2020;5.9451
30/05/2020;0.6879
31/05/2020;30.4629
01/06/2020;0.8784
02/06/2020;4.637
03/06/2020;0.081
04/06/2020;0
05/06/2020;14.846
06/06/2020;19.0735
07/06/2020;6.2336
08/06/2020;4.2037
09/06/2020;0.1392
10/06/2020;0.0263
11/06/2020;0.1975
12/06/2020;2.2649
13/06/2020;2.8866
14/06/2020;11.3088
15/06/2020;3.9369
16/06/2020;0.2543
17/06/2020;38.8334
18/06/2020;13.6929
19/06/2020;0.6439
20/06/2020;3.4205
21/06/2020;0.5111
22/06/2020;0
23/06/2020;0
24/06/2020;0.2293
25/06/2020;9.9242
26/06/2020;17.9077
27/06/2020;1.4011
28/06/2020;3.0042
29/06/2020;0.093
30/06/2020;6.3392
01/07/2020;2.4941
02/07/2020;10.3116
03/07/2020;8.8209
04/07/2020;0.647
05/07/2020;2.9569
06/07/2020;4.2424
07/07/2020;0.3294
08/07/2020;6.7177
09/07/2020;4.442
10/07/2020;9.7194
11/07/2020;1.6815
